seed,delta_head_lr1e4,delta_head_lr2e4,delta_full_lr1e4,delta_full_lr2e4,did_lr1e4,did_lr2e4,marginal_did,threeway,ordinal42_seed_flag
20260723,0.004642674984895873,0.003057444729409692,-0.01334040666342566,-0.01050172615359897,0.017983081648321533,0.013559170883008662,0.015771126265665097,-0.004423910765312872,false
20260724,0.0001922689241447284,-0.00046963122904405963,-0.003733891553180657,0.02178669151771709,0.0039261604773253855,-0.022256322746761148,-0.009165081134717881,-0.026182483224086534,false
20260725,0.0013345172718668974,0.0010852657933608234,-0.010397886562121456,0.004338360128465474,0.011732403833988353,-0.0032530943351046504,0.004239654749441851,-0.014985498169093003,false
20260726,0.003703313120651114,0.009838243239505079,0.00325089274241043,0.0007750189843593602,0.0004524203782406838,0.009063224255145719,0.004757822316693201,0.008610803876905035,false
20260727,0.0014046505449874513,0.003209389473197377,-0.00789331558385617,-0.0014383734143083027,0.009297966128843621,0.00464776288750568,0.00697286450817465,-0.004650203241337941,false
20260728,-0.000010795557053383531,-0.07315356347954555,-0.0004340367228592573,0.005108814407948817,0.0004232411658058738,-0.07826237788749436,-0.038919568360844245,-0.07868561905330024,true
20260729,-0.0012191869029910818,-0.0018777929310893338,-0.0005491153022941231,0.011856553443451143,-0.0006700716006969587,-0.013734346374540476,-0.007202208987618718,-0.013064274773843518,false
20260730,0.007132518111912484,0.0022184544890415936,-0.007968455625168597,-0.012624759757944679,0.01510097373708108,0.014843214246986272,0.014972093992033676,-0.00025775949009480825,false
20260731,0.005743702663471212,0.002376830070511232,-0.00345151042551102,-0.020761694243723497,0.009195213088982232,0.02313852431423473,0.01616686870160848,0.013943311225252497,false
20260732,0.0036216253771339524,0.005658493456742075,-0.01130498293376897,-0.013599264299522296,0.014926608310902922,0.01925775775626437,0.017092183033583647,0.0043311494453614485,false
