seed,original_mean,loso_mean,influence,absolute_influence,ordinal42_seed_flag,interpretation_label,absolute_influence_rank
20260728,0.002468575508401976,0.007067258160540445,0.00459868265213847,0.00459868265213847,true,POST-HOC SENSITIVITY ONLY,1
20260732,0.002468575508401976,0.0008437302278262349,-0.0016248452805757412,0.0016248452805757412,false,POST-HOC SENSITIVITY ONLY,2
20260731,0.002468575508401976,0.0009465429313790311,-0.001522032577022945,0.001522032577022945,false,POST-HOC SENSITIVITY ONLY,3
20260723,0.002468575508401976,0.0009905143131505182,-0.001478061195251458,0.001478061195251458,false,POST-HOC SENSITIVITY ONLY,4
20260730,0.002468575508401976,0.0010792956768873427,-0.0013892798315146334,0.0013892798315146334,false,POST-HOC SENSITIVITY ONLY,5
20260724,0.002468575508401976,0.0037612040243041826,0.0012926285159022065,0.0012926285159022065,false,POST-HOC SENSITIVITY ONLY,6
20260729,0.002468575508401976,0.003543107119070942,0.001074531610668966,0.001074531610668966,false,POST-HOC SENSITIVITY ONLY,7
20260727,0.002468575508401976,0.001968098952871679,-0.0005004765555302972,0.0005004765555302972,false,POST-HOC SENSITIVITY ONLY,8
20260726,0.002468575508401976,0.002214214751925173,-0.000254360756476803,0.000254360756476803,false,POST-HOC SENSITIVITY ONLY,9
20260725,0.002468575508401976,0.002271788926064212,-0.00019678658233776396,0.00019678658233776396,false,POST-HOC SENSITIVITY ONLY,10
