domain,condition,seed,aggregate_ap50_95,aggregate_ap50,aggregate_ap75,vessel_ap50_95,vessel_ap50,vessel_ap75,vessel_precision,vessel_recall
xview_test,realonly_standard,20260723,0.12986111957417926,0.29234885597060045,0.08782753269720152,0.06153810455274833,0.1449479174977279,0.03773060195328831,0.30203149906491894,0.11969111969111969
xview_test,realonly_standard,20260724,0.13107865246789482,0.2932194940043253,0.08834662522919283,0.06229123339241958,0.1477604307135489,0.03407503498793596,0.34131374017769217,0.10604742743144498
xview_test,realonly_standard,20260725,0.13113480998944843,0.2960922999380421,0.08846356846008556,0.0650589396262664,0.16295785912371324,0.03596936942796615,0.3503542806518446,0.11583011583011583
xview_test,realonly_standard,20260726,0.13018449032663992,0.29367414563106575,0.08655555838467661,0.059665165142964605,0.1435534419675274,0.03187750665850543,0.31567997819778215,0.13127413127413126
xview_test,realonly_standard,20260727,0.13051038214849936,0.2949618427975372,0.08679589042393082,0.06462473652352466,0.15531114217497605,0.03781740643208026,0.3421989618939213,0.13513513513513514
xview_test,duplicate,20260723,0.13012720699327052,0.2928875284150522,0.08733560104364405,0.060495714911906806,0.14268520502255208,0.03449490894333382,0.34098138472265394,0.11969111969111969
xview_test,duplicate,20260724,0.1309244823413267,0.29603097087354413,0.08696795251013924,0.06518311288081868,0.15510360285898855,0.03837749264579727,0.3645788083233376,0.13292720452557305
xview_test,duplicate,20260725,0.13022261890308726,0.2946631742485236,0.086200035547138,0.060645517933154605,0.14856014687811595,0.03299523217875036,0.3374405015328785,0.11969111969111969
xview_test,duplicate,20260726,0.13134860552160027,0.297431355318497,0.08689888264671006,0.06483605054641098,0.1599899790503286,0.03502993791986265,0.3764012701219584,0.138996138996139
xview_test,duplicate,20260727,0.1305107690420616,0.2919251165247767,0.0872059464530321,0.062465662258191765,0.13978107931016082,0.03428737015738728,0.30150684003779477,0.12333147916209203
xview_test,realcutout_medium150,20260723,0.13124143874256203,0.2960172057736609,0.08765386599790091,0.06525807029490535,0.15567512980831077,0.036563296853567004,0.3389914394742749,0.138996138996139
xview_test,realcutout_medium150,20260724,0.1327655926874556,0.2990808011662375,0.08749266372836856,0.07066882732889891,0.16563429853411066,0.03957139004093078,0.3656102512234038,0.14285714285714285
xview_test,realcutout_medium150,20260725,0.13097664535559533,0.2960501939385443,0.08587289685934438,0.0666009856013433,0.15671147256673393,0.03404351649879207,0.34088700510058295,0.15057915057915058
xview_test,realcutout_medium150,20260726,0.13178522424478248,0.2983093459698279,0.0876106225989563,0.06670026580777774,0.16234446425316168,0.0370997404976372,0.3323988394459861,0.14226180891346604
xview_test,realcutout_medium150,20260727,0.13168040354850097,0.29459480079319117,0.087802790727476,0.0676989816726846,0.1510995052845604,0.03737127292277974,0.3176325431633247,0.13127413127413126
xview_test,unity_medium150,20260723,0.13151446462296465,0.29677112626680185,0.08848185767914026,0.06788903779490385,0.16222741951983155,0.04176916176098475,0.34376807074687316,0.1583011583011583
xview_test,unity_medium150,20260724,0.13181416150468866,0.2952663242405586,0.08760762599901366,0.07126376720736527,0.1556746658841964,0.04074924901517965,0.3064656860877824,0.13478769210609515
xview_test,unity_medium150,20260725,0.13211930148102516,0.29818646172040963,0.08762560332255989,0.07046794214615933,0.16707708334529864,0.03985705261464095,0.3216117897269578,0.15444015444015444
xview_test,unity_medium150,20260726,0.13215449539323526,0.29830552555689416,0.0877430019245234,0.07180599910655962,0.16919061288490217,0.04115132201746782,0.3405905971092696,0.15057915057915058
