domain,family,metric,head_unity_effect,full_unity_effect,head_minus_full_did,ci95_low,ci95_high,paired_t_p,positive_seeds,negative_seeds,sign_p,cohen_dz,hedges_gz
xview_validation,vessel,ap50_95,0.003468968865904491,-0.0050627907571462365,0.008531759623050727,0.0054228573125876915,0.011640661933513763,0.00015734102350899675,10,0,0.001953125,1.9631537298198352,1.794883410120992
xview_validation,vessel,ap50,0.013611510890173045,-0.00895505626034642,0.022566567150519464,0.01576829863131549,0.02936483566972344,3.657530145793638e-05,10,0,0.001953125,2.3745972389253436,2.171060332731743
xview_validation,vessel,ap75,-0.0026737534725324455,-0.000714209016881208,-0.0019595444556512374,-0.006084344403255634,0.002165255491953159,0.310488217302051,5,5,1.0,-0.339840398737583,-0.310711221702933
xview_validation,aggregate,ap50_95,0.0007441344458075816,-0.001120476498963445,0.0018646109447710267,-8.634609639149521e-05,0.0038155679859335485,0.0588718321734359,8,2,0.109375,0.6836964054808852,0.6250938564396664
xview_validation,aggregate,ap50,0.0028870514882173405,-0.0025158827013583517,0.005402934189575692,0.00018356665894563723,0.010622301720205746,0.04389659116651932,8,2,0.109375,0.7405162143374528,0.6770433959656712
xview_validation,aggregate,ap75,-0.00042130492665167494,0.0005206814829013696,-0.0009419864095530445,-0.0028479822121109098,0.0009640093930048209,0.29251626504232264,3,7,0.34375,-0.3535456282222443,-0.3232417172317662
xview_test,vessel,ap50_95,0.007622500532352005,-0.00978639990323515,0.017408900435587155,0.012990712707159954,0.021827088164014356,9.239028430906925e-06,10,0,0.001953125,2.8187071074017584,2.577103641053036
xview_test,vessel,ap50,0.013270221337839736,-0.027419613429235185,0.04068983476707492,0.030660782344997077,0.05071888718915276,7.27194386458826e-06,10,0,0.001953125,2.902343419738719,2.653571126618257
xview_test,vessel,ap75,0.006308055120455448,-0.003919011143031181,0.010227066263486628,0.00513219264396015,0.015321939883013107,0.0014041352012987185,9,1,0.021484375,1.4359536714248693,1.3128719281598804
xview_test,aggregate,ap50_95,0.0011558578179103412,-0.0021932265325059082,0.0033490843504162494,0.0023287218732618853,0.0043694468275706135,3.996400870581631e-05,10,0,0.001953125,2.347979931043757,2.146724508382863
xview_test,aggregate,ap50,0.0020916214649378704,-0.005814151150271974,0.007905772615209843,0.005831516606986668,0.009980028623433019,1.2112175410978169e-05,10,0,0.001953125,2.726495193892978,2.4927956058450085
xview_test,aggregate,ap75,0.0006931369164222656,-0.000911885709502891,0.0016050226259251565,-6.5526431170988015e-06,0.0032165978949674117,0.05075724870867516,8,2,0.109375,0.7124482745240158,0.6513812795648144
hrsc2016_ms,vessel,ap50_95,0.011249726127191917,0.008069202242852114,0.003180523884339803,0.001487877282046179,0.004873170486633427,0.002140426748916051,8,2,0.109375,1.3441729196065466,1.2289580979259855
hrsc2016_ms,vessel,ap50,0.020087672394648405,0.007394765801651127,0.012692906592997277,0.010365863525284633,0.01501994966070992,6.071245524814165e-07,10,0,0.001953125,3.9019296695124286,3.5674785549827916
hrsc2016_ms,vessel,ap75,0.010701877374341442,0.011529468998563767,-0.000827591624222325,-0.003532082618898304,0.001876899370453654,0.5062554801979343,4,6,0.75390625,-0.2189038103200816,-0.20014062657836032
hrsc2016_ms,aggregate,ap50_95,0.011249726127191917,0.008069202242852114,0.003180523884339803,0.001487877282046179,0.004873170486633427,0.002140426748916051,8,2,0.109375,1.3441729196065466,1.2289580979259855
hrsc2016_ms,aggregate,ap50,0.020087672394648405,0.007394765801651127,0.012692906592997277,0.010365863525284633,0.01501994966070992,6.071245524814165e-07,10,0,0.001953125,3.9019296695124286,3.5674785549827916
hrsc2016_ms,aggregate,ap75,0.010701877374341442,0.011529468998563767,-0.000827591624222325,-0.003532082618898304,0.001876899370453654,0.5062554801979343,4,6,0.75390625,-0.2189038103200816,-0.20014062657836032
dior_public_mirror,vessel,ap50_95,0.006612878130532719,0.0018561245965803806,0.004756753533952339,0.0022782632120484556,0.0072352438558562215,0.001873181433450598,10,0,0.001953125,1.372923049342103,1.2552439308270655
dior_public_mirror,vessel,ap50,0.016103009477810216,0.0015409872703406788,0.014562022207469539,0.0071720184369116905,0.021952025978027388,0.0015827594138129591,10,0,0.001953125,1.4096126976976044,1.288788752180667
dior_public_mirror,vessel,ap75,0.003880959626644646,0.0015614433774674898,0.002319516249177156,0.0011262388937107964,0.003512793604643516,0.0017273225008187123,9,1,0.021484375,1.3905249770800912,1.2713371219017975
dior_public_mirror,aggregate,ap50_95,0.006612878130532719,0.0018561245965803806,0.004756753533952339,0.0022782632120484556,0.0072352438558562215,0.001873181433450598,10,0,0.001953125,1.372923049342103,1.2552439308270655
dior_public_mirror,aggregate,ap50,0.016103009477810216,0.0015409872703406788,0.014562022207469539,0.0071720184369116905,0.021952025978027388,0.0015827594138129591,10,0,0.001953125,1.4096126976976044,1.288788752180667
dior_public_mirror,aggregate,ap75,0.003880959626644646,0.0015614433774674898,0.002319516249177156,0.0011262388937107964,0.003512793604643516,0.0017273225008187123,9,1,0.021484375,1.3905249770800912,1.2713371219017975
