seed,yolo26n_marginal_did,yolo26s_marginal_did,yolo26m_marginal_did,n_minus_s,n_minus_m,s_minus_m
20260723,0.013911742479786503,-0.007043197543703784,0.015771126265665097,0.020954940023490288,-0.001859383785878594,-0.022814323809368882
20260724,0.008518008350305865,-0.00567202151676964,-0.009165081134717881,0.014190029867075505,0.017683089485023746,0.003493059617948241
20260725,0.01548186443310915,-0.011378518402139402,0.004239654749441851,0.026860382835248553,0.0112422096836673,-0.015618173151581254
20260726,0.012521718139452225,0.017035330750794685,0.004757822316693201,-0.0045136126113424595,0.007763895822759024,0.012277508434101483
20260727,0.011807310462096446,-0.006903479262436021,0.00697286450817465,0.018710789724532467,0.0048344459539217954,-0.013876343770610672
20260728,0.01237067968473448,0.005548590931449937,-0.038919568360844245,0.006822088753284543,0.051290248045578725,0.04446815929229418
20260729,0.0041532085922768025,0.007619148717975734,-0.007202208987618718,-0.003465940125698931,0.01135541757989552,0.014821357705594451
20260730,0.013574840506476733,0.0011495457790982114,0.014972093992033676,0.012425294727378522,-0.001397253485556943,-0.013822548212935465
20260731,0.019419367376213924,-0.010545131287460319,0.01616686870160848,0.029964498663674243,0.003252498674605444,-0.0267119999890688
20260732,0.014713099754512283,-0.001859459282683204,0.017092183033583647,0.016572559037195487,-0.002379083279071364,-0.01895164231626685
